country_code,year,n_regions,mean_network,std_network,mean_elec,std_elec,cv_network,cv_elec
ES,2007,19,703.578947368421,751.8566142696709,426.05263157894734,497.05426416083367,1.06861727043116,1.1666499097042422
RO,2012,8,1347.125,522.9215831679327,502.5,158.09581181766237,0.38817599195912234,0.31461853098042264
DE,2008,9,1190.5555555555557,902.029255499941,,,0.7576540643489937,
DE,2021,9,1282.2222222222222,941.2539213434621,,,0.7340801812903951,
FR,1999,25,1276.64,708.7374266962341,566.68,440.5324165143809,0.5551584054206621,0.77739185521702
HU,2022,9,843.8888888888889,481.90752340164926,357.8888888888889,176.7671098115006,0.5710556564338174,0.49391617146957634
IE,2022,3,560.0,172.71074083565273,53.0,,0.3084120372065227,
DE,1992,9,1476.4444444444443,1253.1685951131149,438.22222222222223,431.75594314895585,0.8487746354619231,0.9852442921756092
PT,2020,7,360.85714285714283,225.7191681207931,242.28571428571428,182.58944318307334,0.6255083835493079,0.7536120886093829
ES,2014,19,836.9473684210526,806.6630491436937,511.42105263157896,543.7540616236018,0.9638157422795989,1.0632218967632432
IT,1991,19,767.3157894736842,519.1542323424363,,,0.6765848422049723,
TR,2018,26,396.7307692307692,262.93946948943335,184.0,217.10697823883964,0.6627655071958573,1.1799292295589112
ES,2003,19,675.2631578947369,704.6450518685326,395.3157894736842,441.77232102716783,1.0435117681607264,1.1175175209048314
FR,2014,27,1088.3703703703704,708.2350298805177,595.8148148148148,509.1394728843982,0.6507297967322526,0.8545263733373999
HR,2017,4,651.0,450.7142479812829,242.5,154.80848383298206,0.6923413947485144,0.6383855003421941
SK,2011,4,906.25,451.39884433466005,394.75,190.73782180434657,0.4980952765072111,0.4831863756918216
FI,2007,4,1474.75,1081.4210943630299,761.75,418.95136949292817,0.7332911302682013,0.5499853882414547
FR,2018,27,1030.5555555555557,673.0961945959041,594.6296296296297,508.48811711009057,0.653139164567454,0.8551341739004948
TR,1991,26,324.1923076923077,212.20839177200682,31.761904761904763,68.4016847467259,0.6545756538227758,2.1535762813811754
TR,2004,26,334.5,217.30370452433618,73.84615384615384,102.86250718612386,0.6496373827334415,1.392929784812094
AT,1995,9,624.3333333333334,627.0779457132901,375.6666666666667,288.02690846516407,1.0043960689481422,0.7667087181858848
PT,2010,5,568.6,353.7665897170054,297.8,190.11365022007232,0.6221712798399672,0.638393721356858
PT,2018,5,509.2,314.7271834462349,328.0,242.39224410034245,0.6180816642699036,0.7390007442083611
RO,2014,8,1347.125,522.1224370640609,503.625,157.0167757188475,0.38758276853600143,0.31177319576837426
BG,2023,6,671.5,131.75697324999538,500.1666666666667,109.65840901028369,0.19621291623230883,0.21924373677497572
FR,2022,27,1037.3703703703704,672.5452314298931,622.3703703703703,520.509820209449,0.6483173711523836,0.8363345123574818
IT,2023,20,838.15,536.1899972564714,609.35,450.3944791425682,0.6397303552543954,0.739139212509343
SK,2007,4,907.25,446.66495646438767,394.25,187.73274443562937,0.49232841715556647,0.4761769040852996
